iter,acc,nmi,ari,L,Lc,Lr
0,0.63515,0.06054,0.07281,0,0,0
140,0.65077,0.07765,0.09058,0.07117,0.00043,0.07112
280,0.64661,0.06879,0.08579,0.02205,0.00018,0.02203
420,0.64174,0.07121,0.07993,0.02691,0.00055,0.02685
560,0.64446,0.07125,0.08314,0.01897,0.00373,0.0186
700,0.65077,0.07466,0.09068,0.02269,0.0172,0.02097
840,0.65048,0.075,0.09032,0.02087,0.02388,0.01849
980,0.65506,0.07872,0.09594,0.0153,0.03193,0.01211
1120,0.6595,0.0807,0.10159,0.01823,0.03812,0.01442
1260,0.65922,0.0812,0.10121,0.01752,0.03321,0.0142
1400,0.66008,0.08203,0.10231,0.02521,0.03829,0.02139
1540,0.66165,0.08178,0.10437,0.02083,0.04822,0.01601
1680,0.66079,0.08108,0.10326,0.01272,0.03303,0.00942
1820,0.66022,0.0785,0.10255,0.013,0.02809,0.01019
1960,0.66165,0.08005,0.10439,0.01389,0.03193,0.01069
2100,0.66137,0.08067,0.10401,0.03579,0.12566,0.02322
2240,0.66194,0.08181,0.10475,0.01924,0.03818,0.01542
2380,0.6628,0.08141,0.10588,0.0152,0.03402,0.0118
2520,0.66352,0.08123,0.10682,0.01099,0.0267,0.00832
2660,0.66437,0.08183,0.10795,0.00763,0.02852,0.00478
2800,0.66423,0.08197,0.10776,0.01034,0.03169,0.00717
2940,0.66137,0.07701,0.10403,0.01648,0.04146,0.01234
3080,0.6638,0.07663,0.10714,0.01097,0.03464,0.0075
3220,0.66724,0.0794,0.11166,0.04169,0.03178,0.03851
3360,0.66538,0.07774,0.10919,0.02359,0.053,0.01829
3500,0.66423,0.07717,0.1077,0.03538,0.06216,0.02917
3640,0.66137,0.07613,0.10402,0.0176,0.03637,0.01397
3780,0.65965,0.07491,0.10181,0.00921,0.02767,0.00644
3920,0.65907,0.07574,0.10109,0.02352,0.02711,0.02081
4060,0.66223,0.07519,0.10508,0.00853,0.02598,0.00593
4200,0.66122,0.07398,0.10378,0.00636,0.02181,0.00418
4340,0.66294,0.07496,0.10598,0.0114,0.04014,0.00739
4480,0.66137,0.07281,0.10389,0.00973,0.03056,0.00668
4620,0.66237,0.07273,0.1051,0.0325,0.08714,0.02379
4760,0.66266,0.07293,0.10547,0.01345,0.02,0.01145
4900,0.66137,0.07357,0.10394,0.00805,0.01822,0.00623
5040,0.6595,0.07278,0.10159,0.01398,0.04093,0.00989
5180,0.65707,0.07091,0.09852,0.00863,0.01794,0.00683
5320,0.6575,0.07201,0.09908,0.00661,0.02256,0.00435
5460,0.6585,0.07331,0.10035,0.00905,0.01519,0.00754
5600,0.65922,0.07454,0.10127,0.00971,0.04094,0.00561
5740,0.65922,0.07451,0.10127,0.00611,0.01334,0.00478
5880,0.65807,0.07357,0.09981,0.00906,0.01979,0.00708
6020,0.65979,0.07316,0.10196,0.01128,0.05132,0.00615
6160,0.6618,0.07484,0.10453,0.00532,0.01053,0.00427
6300,0.66366,0.07683,0.10696,0.00912,0.01835,0.00729
